,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
7,ripple,0.3275961470890023,2019-08,5,31028405043,2895983603.640341
8,tether,1.006308683347072,2019-08,3,82894495631,199423640523.8859
9,tron,0.0232860626957978,2019-08,11,6672513919,770912070.4246184
10,usd-coin,1.0134742001252042,2019-08,6,26061873788,12556897699.980495
0,binancecoin,23.4046732990476,2019-09,4,35615253517,375354882.1037719
2,cardano,0.0546158554978581,2019-09,8,9697834830,232970003.19938985
3,dogecoin,0.0027772548378249,2019-09,9,9559609609,94343163.72533502
4,ethereum,221.52040827046608,2019-09,2,216295278292,14675236537.632751
5,litecoin,79.43802544381407,2019-09,14,5552928819,4447563580.137576
6,matic-network,0.0148358802898614,2019-09,13,5788499729,24852461.189663664
7,ripple,0.3169097026029682,2019-09,5,31028405043,3568439087.9234405
8,tether,1.00753009123517,2019-09,3,82894495631,40812460599.71668
9,tron,0.0183917037620598,2019-09,11,6672513919,985749417.1027915
10,usd-coin,1.007916024095426,2019-09,6,26061873788,6531564933.066977
0,binancecoin,20.85874798373867,2019-10,4,35622050297,357317501.2297168
2,cardano,0.0439787100717324,2019-10,8,9693657568,209038911.7752097
3,dogecoin,0.0028659550833418,2019-10,9,9561873470,132154727.76458216
4,ethereum,196.00120627200863,2019-10,2,216300305781,22153353721.833603
5,litecoin,62.16960409606303,2019-10,14,5552198552,5316389303.384929
6,matic-network,0.0175427692598177,2019-10,13,5786288660,74154255.17053522
7,ripple,0.3095082923981054,2019-10,5,31013236830,3968645799.7188873
8,tether,1.0152228728015562,2019-10,3,82894495631,67663025997.16179
9,tron,0.0224297915991779,2019-10,11,6670799304,2356749986.642482
10,usd-coin,1.0038102620057383,2019-10,6,26057611608,487999854.5617833
0,binancecoin,21.672927323610622,2019-11,4,35622050297,323455381.4765038
2,cardano,0.0457088387204807,2019-11,8,9693657568,155863454.17132407
3,dogecoin,0.0027794371793077,2019-11,9,9561873470,107223026.98106718
4,ethereum,193.0731309248641,2019-11,2,216300305781,17556115439.989822
5,litecoin,64.54360553196082,2019-11,14,5552198552,4265285131.895136
6,matic-network,0.0255015206166658,2019-11,13,5786288660,96762389.59301616
7,ripple,0.3105081099180153,2019-11,5,31013236830,3005796368.421091
8,tether,1.0072475780314205,2019-11,3,82896079480,86753717542.27168
9,tron,0.0204654017718425,2019-11,11,6670799304,2054921307.6240327
10,usd-coin,1.0119752561672488,2019-11,6,26057611608,341161160.41947174
0,binancecoin,15.7760109102733,2019-12,4,35622050297,277367163.7305544
2,cardano,0.039904237732447,2019-12,8,9693657568,148036606.08043697
3,dogecoin,0.0023008615956791,2019-12,9,9561873470,74171987.23811772
4,ethereum,151.26907467549202,2019-12,2,216300305781,36625090284.50704
5,litecoin,47.844918654001965,2019-12,14,5552198552,3416337532.1713524
6,matic-network,0.0423278080937157,2019-12,13,5786288660,352903582.0085948
7,ripple,0.2308576629450811,2019-12,5,31013236830,2127425250.377081
8,tether,1.0094772216130092,2019-12,3,82896079480,41705928905.8341
9,tron,0.0159929815358235,2019-12,11,6670799304,1408226311.587455
10,usd-coin,1.0067419702347908,2019-12,6,26057611608,472645911.77212006
0,binancecoin,18.598778426630403,2020-01,4,35622497554,387552992.37765735
2,cardano,0.0568669582164816,2020-01,8,9686430803,339190653.21222246
3,dogecoin,0.0025535512648425,2020-01,9,9554176830,115624185.88345195
4,ethereum,186.2592471215657,2020-01,2,216197790822,21473894666.14287
5,litecoin,69.75034299071692,2020-01,14,5545620744,5742156502.085697
6,matic-network,0.0187920597106476,2020-01,13,5780981967,73660147.29648541
7,ripple,0.2463551426100508,2020-01,5,31073814267,3150743146.775641
